"","X","country","efrac","bti_ci","bti_cr","cpds_vt","ti_cpi","ccp_democ","br_dem","bti_ffe","bti_gp","bti_ij","bti_mes","bti_pdi","bti_sdi","ti_cpi_max","al_ethnic2000","al_religion2000"
"1",1,"Afghanistan",0.77,9,2,NA,16,1,0,4,4.466666698,3,3.142857075,3,3,20.18943977,0.769344568,0.271683902
"2",2,"Albania",0.22,3,8,NA,35,1,1,7,6.783333302,5,6.535714149,6,7,39.11257935,0.220425993,0.471851587
"3",3,"Algeria",0.34,6,5,NA,35,1,0,5,4.933333397,4,5.357142925,3,2.5,39.24803162,0.339399993,0.0091285
"4",4,"Andorra",0.71,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.713945985,0.232568502
"5",5,"Angola",0.79,4,4,NA,26,1,0,4,4.650000095,4,3.678571463,3,3,28.98747063,0.786719978,0.627643526
"6",6,"Antigua and Barbuda",0.16,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.164256006,0.683991313
"7",7,"Argentina",0.25,4,7,NA,45,1,1,9,7.266666889,7,6.428571224,8,8,50.39339828,0.254999995,0.223620698
"8",8,"Armenia",0.13,3,7,NA,42,1,1,9,6.116666794,5,6.285714149,6,6.5,49.06938171,0.127153993,0.457560897
"9",9,"Australia",0.09,1,NA,91.80000305,77,2,1,NA,NA,NA,NA,NA,NA,79.16139984,0.092901997,0.821085513
"10",10,"Austria",0.11,1,NA,75.59999847,77,1,1,NA,NA,NA,NA,NA,NA,79.57285309,0.106776185,0.414621711
"11",11,"Azerbaijan",0.2,4,3,NA,30,1,0,2,4.483333111,3,5.25,2,2,41.74531937,0.204671994,0.489894688
"12",12,"Bahrain",0.5,7,3,NA,42,1,0,2,3.733333349,2,6.25,2,1.5,54.53910065,0.502129972,0.552825093
"13",13,"Bangladesh",0.05,7,4,NA,26,1,0,4,4.866666794,4,5.678571224,3,3,30.29233932,0.045434002,0.209049806
"14",14,"Barbados",0.14,NA,NA,NA,62,1,1,NA,NA,NA,NA,NA,NA,71.9377594,0.142342001,0.693402886
"15",15,"Belarus",0.32,3,4,NA,45,1,0,3,4.233333111,4,5.392857075,3,2.5,51.88875961,0.322183996,0.611620724
"16",16,"Belgium",0.56,1,NA,88.40000153,75,2,1,NA,NA,NA,NA,NA,NA,76.79550171,0.555400014,0.2126811
"17",17,"Belize",0.7,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.701539993,0.581293225
"18",18,"Benin",0.79,2,8,NA,41,1,1,9,6.770833492,6,5.107142925,8,9,45.32836151,0.787216008,0.554399371
"19",19,"Bhutan",0.61,2,7,NA,68,1,1,8,7.333333492,7,5.714285851,8,8,72.52089691,0.605000019,0.378703505
"20",20,"Botswana",0.41,1,8,NA,61,1,1,8,8.458333015,9,7.642857075,9,9,67.12036133,0.410248011,0.598619282
"21",21,"Brazil",0.54,5,6,NA,35,1,1,9,6.483333111,7,6.892857075,7,7.5,41.6588707,0.540835977,0.605430186
"22",22,"Bulgaria",0.4,4,7,54.09999847,43,1,1,8,7.266666889,8,7.571428776,7,8,47.53953934,0.402114123,0.596501172
"23",23,"Burkina Faso",0.74,7,5,NA,40,1,0,7,5.550000191,4,4.5,6,6,44.17028046,0.737738013,0.579798818
"24",24,"Burundi",0.3,7,2,NA,19,1,0,3,3.366666555,3,3.285714388,2,2,27.02617073,0.295143992,0.515826285
"25",25,"Cambodia",0.21,5,2,NA,20,1,0,2,3.349999905,2,4.714285851,2,2,25.59160042,0.210464001,0.096453398
